"id","geom","uprn","udprn","class","parent_uprn","x_coordinate","y_coordinate","latitude","longitude","country","legal_name","sub_building_name","building_name","building_number","usrn","usrn_match_indicator","area_name","street_description","dependent_thoroughfare","thoroughfare","welsh_dependent_thoroughfare","welsh_thoroughfare","double_dependent_locality","dependent_locality","locality","welsh_dependent_locality","welsh_double_dependent_locality","town_name","administrative_area","post_town","welsh_post_town","postcode","postcode_locator","postcode_type","delivery_point_suffix","addressbase_postal","po_box_number","ward_code","parish_code","multi_occ_count","class_1","ex_polygon_id","l2_polygon_id","l4_polygon_id","target_release_date","build_status"
"71b588ac-7182-48cb-b351-91d9f4fe0c2b",,,"23226784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"97e4dd6d-1ea6-430e-8086-a528d7dad5af",,,"23226784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"39d7a018-bac8-4131-8f5b-f602d68a2ec6",,,"23219526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"41a43f4a-a37b-4ea3-a024-20d470fe322c",,,"23212818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"5c02c772-ffb2-4b98-82c8-23c4a5c67bb3",,,"23225419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"7f82ef83-770f-48b5-bdd3-8d8d1dffe3ce",,,"23226779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"7ddc7bc4-81aa-45cf-abb5-7d48c037d7bf",,,"23212899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"f5442a65-ffca-4370-ae51-fce5c5477ab1",,,"23226742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"796b0607-a77a-45ce-b485-72fafec14c5c",,,"23212891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"bb27d725-02c6-4e3b-82cb-f25c8254f5b7",,,"23212870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"e2ad3ed2-e029-4d8e-91d7-6947c63cb40a",,,"23226175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"4cbc315f-8f5f-4b8f-8e1a-18e80d45f262",,,"23218182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,135,9784,,
"291a0b6c-ed11-4ff4-a94c-e8473af2ba78",,,"6970902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"f5ba86f2-6e2b-4f65-ac34-39ec953f8cbd",,,"6970909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"97c2ac5f-8ad9-49dd-a65e-098852568a00",,,"6970901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"16530fa5-454f-42aa-89fe-6572cfcee396",,,"6970912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"295969e4-4fb9-4a28-8efa-4b9c4c521a8f",,,"6970865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"064cb0c4-8163-41f6-b044-87d3f0656a87",,,"6970899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"031b7156-4b20-478b-acce-9d99e7971f0b",,,"23213433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"f06464de-8465-4b40-8a00-8a7b86858443",,,"23213428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"d356297e-04d7-417a-883f-6598c2854435",,,"23213429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"7d6c2ef1-bd31-4d2a-a74e-d96fa03a64a3",,,"23213437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"148b48c3-e193-43cc-88cb-3baafb775db7",,,"23213436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"5a2171a8-d41b-4eea-b3f4-5b7a393106ca",,,"28314847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"581eb55c-b167-44aa-869c-3651b0d0f8e5",,,"23213432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"7032920b-3c39-466f-96d5-3f9b69076300",,,"28314837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"186b1017-f5c5-4e88-bcb3-2b2356d56836",,,"28314838",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"3dfbefd1-b199-4a42-b040-b3a6a13dd83f",,,"23221426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"19ea27a8-0c65-40b2-80b9-7ec2f847dcfe",,,"23214718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"c629c3c2-fb3a-470e-81c8-37170cbbd508",,,"23222010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"4360e205-b7cd-4df6-8722-a013d1852410",,,"23218969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"6f1b243e-26b8-4a36-a538-5f17c5bfbd41",,,"23218796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"6b1e17d9-b3a6-4edd-a5b2-f42dba7685e4",,,"23218427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"aa8edbcb-5e3c-4727-a901-458f6494d33e",,,"23218803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"6ae1bf29-8512-4e42-90e8-f753287ca538",,,"23216574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"50536a5b-2aa3-449c-af45-f0f8574d3d48",,,"23212745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"ec1fac3f-48d6-4fca-9660-e5a757bbb332",,,"23212745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"902467b7-d1b3-439e-99f0-cffdee005876",,,"23228107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"afe00501-d39b-4992-a7c2-24d688aec537",,,"23226600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"6096550e-2a64-405e-b968-b6ccd321f481",,,"23222057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"15ef5010-b37f-42e2-9c4c-3ab860be144c",,,"55090546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"a5da37a2-a8cd-47e3-936a-b7f0c02df642",,,"23221332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"d951a883-af2d-4622-bbe4-872807a474c5",,,"23226609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"90dfe76c-f3c4-4305-a4dc-d0d1f2eaf2c6",,,"23226557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"13ebfac3-e45e-42cf-ba6c-1e9ffad0257f",,,"23216342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"1f29d5d5-4866-459f-9d90-30ab53414961",,,"23218799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"ddabc692-f935-4e69-b663-564c7a7bd53f",,,"55090538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"48529827-5d61-49bc-aa6e-272d44803fc3",,,"23218802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"09fd0e6d-8046-4098-85c8-d520bff839b1",,,"23228111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"f1754248-fd75-4bab-9cfc-a17c5834d342",,,"23212827",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"3261d1d6-43c0-4565-8bf4-6956c0267aed",,,"23212864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"62678594-bba4-45ea-a2fa-1f3a0197182a",,,"23220776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"63d3cc36-bdbb-4173-bab3-0a63a515e898",,,"23218361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"278ab07e-4ae6-426c-a7a4-276df23ac7c7",,,"23219152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"209732b1-52d1-4823-91db-35c8c26bf33c",,,"23214715",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"4547612a-187a-4011-976c-fe7edd81e844",,,"23214779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"696c71fc-1424-4b26-a9a5-582bbd09d0e9",,,"23222068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"4aedbaf3-5d90-402c-bbfa-effd2c24e148",,,"55090540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"d2c65b94-9c44-47e0-a256-6168b693cd47",,,"23216532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"66cc8d9e-f77e-44fc-ad2d-2b4fe9f6f1c3",,,"23218426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"67e3e01c-cfea-479d-b8dc-e4227e42e3cd",,,"23212871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"e02d5df2-1800-427c-878b-1a355b391385",,,"23226550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"df3c71a2-f3c1-44ba-b2d4-338ed95b330c",,,"23216528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"3733f5fd-dd81-42f5-864e-63c97e0729fa",,,"23221793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"28ae0165-8f49-4d7e-95dd-0c80d7b34f51",,,"23216523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"af63b665-70bb-410d-bff3-641fc58c21a7",,,"23218875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"234be99e-cd2e-477b-9c55-f39b997e7e3a",,,"55090550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"729309e9-61f1-4ada-8195-0823cfa991d3",,,"23216525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"51006e20-ca7a-40bf-814b-c362edb1d68b",,,"23218773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"245efc4c-58cb-4e91-961d-3424a0d2e616",,,"23226561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"40f03654-bfa1-4cf8-94e2-5b705d7ac471",,,"23216536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"d09b4a24-b0d5-49e8-8169-04eb1714fe57",,,"23221766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"a0379454-9bd8-4727-a48a-e1d17e0976aa",,,"23215388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"cd85b67b-4678-4656-bb0a-6a1bb55df1ba",,,"23221408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"3316c4a5-7a75-46c7-b97b-f077f4a5dc99",,,"23218967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"a8f74b3d-6ebf-4cea-84b3-e437cd5caaed",,,"23218689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"ec94c036-2f58-43f3-863b-f80fe5576641",,,"23219153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"1c459043-56c0-40d1-951e-3deab948a722",,,"23221425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"b3493b66-80b9-40d3-a018-026edb8412ad",,,"23221764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"27217567-4a9d-4151-85cf-ab47696e0701",,,"23216348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"bd4b5453-ba87-430f-bd94-386a46077fb5",,,"23212875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"82be5fb4-9e67-4ec6-b017-856135dc7924",,,"23222217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"d16483c5-236b-41c5-8a8f-0b6481c61096",,,"23212585",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"db507298-159d-4fdf-87da-1f9309bd7e57",,,"23212830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"c5df3c28-b9bd-4d24-8c8f-94f26b17a367",,,"55090536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"5242eac0-5243-4ff3-a444-f3ec7d720ec6",,,"23226748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"ca57f68a-5480-4857-9b78-653442060961",,,"23212798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"f9636763-c6ca-4a04-9a05-9cf793e00454",,,"23214717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"345f2a89-064c-4c71-9b29-8765b786e64d",,,"23226553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"893d41eb-257b-41d3-a34e-e355d08ff9b0",,,"23220662",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"0bc20726-4312-4461-969a-12d533021341",,,"23218876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"4e7970c7-9353-45b5-9f99-38486a2b16a0",,,"6968449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,167,8941,,
"94f5770d-cec0-427f-9fa9-47ff4398899a",,,"6969010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,113,8567,,
"c897b9d1-1093-499a-ac99-f281346897ff",,,"6969009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,113,8567,,
"2666ea59-fee9-4500-8cf1-b68f40433879",,,"25397452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,113,8567,,
"568d7649-d9ba-44dd-901f-c4c0bd869468",,,"25396211",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40652,113,8567,,
